,python,java,c++,c#,c,javascript,typescript,react,angular,vue,django,flask,spring,node.js,express,ruby,rails,go,php,sql,postgresql,mysql,mongodb,redis,.net,.net core,asp.net,rest api,aws,azure,gcp,docker,kubernetes,git,html,css,swift,objective-c,tensorflow,pytorch,mlflow,spark,hadoop,airflow,linux,bash,shell,ci/cd,jenkins,grafana,prometheus,rabbitmq,kafka,elasticsearch,firebase,heroku,mongodb atlas
Software Engineer,1776,2590,1076,1156,4803,1547,689,1089,675,243,97,49,453,456,64,177,84,1402,175,1929,261,259,211,147,847,256,262,234,1458,920,308,740,724,1329,926,841,63,0,32,25,1,114,72,33,824,141,175,538,370,35,25,67,244,127,52,8,0
Senior Software Engineer,1378,1897,604,637,3267,1128,773,780,555,124,73,26,289,359,51,136,98,1229,101,1675,333,216,176,149,520,163,167,170,1304,695,321,661,765,900,620,598,58,0,29,24,2,120,28,14,564,63,133,316,255,23,21,49,229,87,13,4,0
Junior Software Engineer,10,21,5,13,34,16,2,11,4,4,1,1,3,2,0,1,0,7,3,20,1,6,0,0,11,3,3,2,8,7,2,3,3,9,11,11,0,0,1,1,0,0,0,0,3,0,2,5,0,0,0,0,2,1,0,0,0
Software Engineer Intern,25,15,19,8,38,8,3,9,6,1,1,3,1,0,0,0,0,13,0,5,1,1,1,0,6,4,2,0,1,3,0,3,3,4,7,6,1,0,1,1,0,2,0,0,9,2,1,2,3,0,0,1,2,2,0,0,0
Backend Software Engineer,71,57,12,13,124,12,10,19,9,3,6,5,16,15,2,17,3,64,17,66,18,22,6,9,15,4,0,12,69,20,17,24,29,26,3,3,0,0,1,0,0,4,1,5,18,1,0,13,10,0,0,1,14,5,0,1,0
Frontend Software Engineer,7,24,3,0,35,23,19,32,10,0,1,0,5,4,1,1,0,7,0,4,2,1,0,1,2,1,0,4,10,3,2,6,5,9,12,17,1,0,0,0,0,1,0,0,1,0,1,10,2,1,0,1,0,0,0,0,0
Software Test Engineer,89,120,43,47,243,63,17,6,10,0,0,1,5,23,0,4,2,41,4,67,2,2,3,2,17,1,5,23,34,43,19,37,23,79,19,15,8,0,1,1,0,2,0,0,44,5,20,47,40,1,1,1,2,0,18,0,0
Software Architect,20,41,18,21,107,18,4,20,15,2,1,2,6,10,2,1,1,20,4,41,1,3,1,1,28,7,5,3,36,31,8,13,12,15,10,8,1,0,0,0,0,0,0,0,15,0,3,9,4,0,1,1,1,4,0,0,0
Data Engineer,23,15,2,0,25,1,0,2,0,0,1,1,1,0,0,0,0,8,0,21,3,1,1,0,0,0,0,1,20,6,2,5,6,1,0,0,0,0,0,0,0,20,6,10,5,0,2,11,2,2,0,0,14,0,0,0,0
Machine Learning Engineer,20,8,5,0,23,4,0,1,1,1,0,0,1,0,0,0,0,8,3,8,0,0,1,0,0,0,0,0,10,0,1,5,4,5,1,1,0,0,6,6,2,2,0,2,2,1,0,3,1,1,0,0,1,0,0,0,0
Embedded Engineer,158,41,444,48,562,10,3,2,3,0,0,0,0,0,1,2,0,74,3,14,1,1,0,0,12,2,0,0,3,6,1,57,12,152,4,4,0,0,0,0,0,0,0,0,258,22,9,24,44,0,0,0,2,1,0,0,0
DevOps Engineer,46,38,4,5,65,10,0,4,4,3,3,0,3,1,2,26,0,38,1,37,4,6,4,1,5,2,1,0,47,25,5,41,46,11,2,2,1,0,0,0,0,0,0,0,44,19,3,12,14,3,2,0,0,1,0,1,0
IoT Engineer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,3,3,0,0,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
